2023-03-09 18:39:19.554 	3
2023-03-09 18:39:19.278 	2
2023-03-09 18:39:19.047 	1
2023-03-09 18:38:53.831 	quit
2023-03-09 18:38:52.640 	3
2023-03-09 18:38:52.323 	2
2023-03-09 18:38:52.097 	1
2023-03-09 18:38:13.168 	quit
2023-03-09 18:38:12.228 	3
2023-03-09 18:38:11.891 	2
2023-03-09 18:38:11.595 	1
2023-03-09 18:36:51.598 	quit
2023-03-09 18:36:50.065 	2
2023-03-09 18:36:14.522 	quit
2023-03-09 18:36:13.442 	quit
2023-03-09 18:36:12.532 	quit
2023-03-09 18:36:09.686 	quit
2023-03-09 18:36:08.651 	3
2023-03-09 18:36:08.133 	2
2023-03-09 18:36:07.882 	1
